cluster_column,mutation,cluster_count,distinct_clusters,dataset_name
Nextstrain_clade,9891T,2,"21A (Delta),21I (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22018T,1,21C (Epsilon),sars-cov-2-2020-2022
Nextstrain_clade,22029-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22030-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22031-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22032-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22033-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22034-,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22194-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22195-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22196-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22206G,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22227T,2,"20E (EU1),21I (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22283-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22132T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,21995-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21994-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21993-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21766-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21767-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21768-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21769-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21770-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21801C,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,21846T,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21974T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,21987-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21987A,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,21988-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21989-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21990-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21991-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21992-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22284-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,21765-,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22285-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22287-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,23040G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23048A,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23055G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23063T,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,23075C,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23202A,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23013C,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23271A,1,"20I (Alpha, V1)",sars-cov-2-2020-2022
Nextstrain_clade,23403G,15,"20A,20B,20C,20D,20E (EU1),20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,23525T,2,"20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,23599G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23604A,2,"20I (Alpha, V1),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,23604G,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,23664T,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,23401A,1,20F,sars-cov-2-2020-2022
Nextstrain_clade,23012A,2,"20H (Beta, V2),20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,23-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22995A,4,"21A (Delta),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22288-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22289-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22290-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22291-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,22578A,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22673C,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22674T,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22679C,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22686T,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22812C,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,22813T,2,"20H (Beta, V2),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22882G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22898A,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,22917G,4,"21A (Delta),21C (Epsilon),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,22992A,2,"20F,21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,22286-,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,23709T,1,"20I (Alpha, V1)",sars-cov-2-2020-2022
Nextstrain_clade,21762T,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,21621A,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,11295-,3,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,11296-,3,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,11332G,1,21J (Delta),sars-cov-2-2020-2022
Nextstrain_clade,11418C,2,"21A (Delta),21I (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,11514T,1,21I (Delta),sars-cov-2-2020-2022
Nextstrain_clade,11537G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,11294-,3,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,1163T,1,20F,sars-cov-2-2020-2022
Nextstrain_clade,12-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,12100T,1,21C (Epsilon),sars-cov-2-2020-2022
Nextstrain_clade,1267T,1,21A (Delta),sars-cov-2-2020-2022
Nextstrain_clade,12778T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,12878G,1,21C (Epsilon),sars-cov-2-2020-2022
Nextstrain_clade,12946C,1,21A (Delta),sars-cov-2-2020-2022
Nextstrain_clade,1191T,1,21A (Delta),sars-cov-2-2020-2022
Nextstrain_clade,11293-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,11292-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,11291-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,10-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,10029T,2,"21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,10097A,1,20D,sars-cov-2-2020-2022
Nextstrain_clade,10319T,1,20G,sars-cov-2-2020-2022
Nextstrain_clade,10323G,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,10449A,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,1059T,4,"20C,20G,20H (Beta, V2),21C (Epsilon)",sars-cov-2-2020-2022
Nextstrain_clade,11-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,11201G,1,21J (Delta),sars-cov-2-2020-2022
Nextstrain_clade,11285-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,11286-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,11287-,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,11288-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,11289-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,11290-,4,"20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,13-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,21638T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,13019T,1,21I (Delta),sars-cov-2-2020-2022
Nextstrain_clade,13536T,1,20D,sars-cov-2-2020-2022
Nextstrain_clade,18424G,1,20G,sars-cov-2-2020-2022
Nextstrain_clade,18555T,1,20F,sars-cov-2-2020-2022
Nextstrain_clade,19-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,19220T,1,21J (Delta),sars-cov-2-2020-2022
Nextstrain_clade,2-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,20-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,18176T,1,21A (Delta),sars-cov-2-2020-2022
Nextstrain_clade,20262G,1,21A (Delta),sars-cov-2-2020-2022
Nextstrain_clade,210T,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,21255C,1,20E (EU1),sars-cov-2-2020-2022
Nextstrain_clade,21304T,1,20G,sars-cov-2-2020-2022
Nextstrain_clade,21600T,1,21C (Epsilon),sars-cov-2-2020-2022
Nextstrain_clade,21614T,2,"20H (Beta, V2),20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,21618G,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,21-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,18163G,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,18-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,174T,1,"20H (Beta, V2)",sars-cov-2-2020-2022
Nextstrain_clade,13860T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,14-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,14408T,15,"20A,20B,20C,20D,20E (EU1),20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,14676T,1,"20I (Alpha, V1)",sars-cov-2-2020-2022
Nextstrain_clade,15-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,15240T,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,15279T,1,"20I (Alpha, V1)",sars-cov-2-2020-2022
Nextstrain_clade,15451A,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,16-,16,"19A,19B,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,16176C,1,"20I (Alpha, V1)",sars-cov-2-2020-2022
Nextstrain_clade,16466T,3,"21A (Delta),21I (Delta),21J (Delta)",sars-cov-2-2020-2022
Nextstrain_clade,16647T,1,20F,sars-cov-2-2020-2022
Nextstrain_clade,17-,15,"19A,20A,20B,20C,20D,20F,20G,20H (Beta, V2),20I (Alpha, V1),20J (Gamma, V3),21A (Delta),21C (Epsilon),21I (Delta),21J (Delta),21K (Omicron)",sars-cov-2-2020-2022
Nextstrain_clade,17014T,1,21C (Epsilon),sars-cov-2-2020-2022
Nextstrain_clade,17259T,1,"20J (Gamma, V3)",sars-cov-2-2020-2022
Nextstrain_clade,13195C,1,21K (Omicron),sars-cov-2-2020-2022
Nextstrain_clade,23731T,1,20D,sars-cov-2-2020-2022
Nextstrain_clade,23854A,1,21K (Omicron),sars-cov-2-2020-2022
