cluster_column,mutation,cluster_count,distinct_clusters,dataset_name
clade_membership,987C,1,A1b/94N,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1491A,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1494G,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1499A,5,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1518G,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1614G,1,A1b/94N,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1633A,3,"A1b/131K,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1637C,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1639C,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1683A,7,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1689T,1,A2,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1692C,1,A1b/137F,seasonal-flu-h3n2-ha-2018-2020
clade_membership,172T,7,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2",seasonal-flu-h3n2-ha-2018-2020
clade_membership,183C,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,196G,8,"3c3.A,A1b/131K,A1b/135K,A1b/135N,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,233G,5,"A1b/131K,A1b/135K,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,234G,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,264G,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,26G,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,279C,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,295A,8,"3c3.A,A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,309C,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,316A,1,A2,seasonal-flu-h3n2-ha-2018-2020
clade_membership,318A,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,318G,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,320A,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,981T,2,"A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,323G,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1242G,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1032C,1,A1b/94N,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1260A,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1264G,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1269A,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1296A,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1320T,1,A3,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1362C,3,"A1b/131K,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,138A,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1404A,1,A3,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1437A,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1482G,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1485A,7,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1485T,1,A2,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1206A,6,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1173T,8,"3c3.A,A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1149C,8,"A1b/131K,A1b/135K,A1b/135N,A1b/137F,A1b/197R,A1b/94N,A2,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1134G,1,A3,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1125A,1,A2,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1119C,2,"A1b/135N,A3",seasonal-flu-h3n2-ha-2018-2020
clade_membership,1104C,1,3c3.A,seasonal-flu-h3n2-ha-2018-2020
clade_membership,1095C,1,A1b/197R,seasonal-flu-h3n2-ha-2018-2020
